CRASH_ID,count
14859435,3
14902096,3
14935370,3
14956218,3
14842445,3
14869406,3
14894300,3
14926190,3
14934493,3
14934775,3
14961436,3
14977198,3
14878468,4
14938038,3
14980270,3
14980731,4
14908025,5
14942677,3
14978688,3
14954855,3
14888694,3
14922069,3
14964693,3
14979780,3
14894761,3
14905641,3
14912109,3
14915516,3
14983910,4
14889937,3
14894115,3
14909382,3
14924280,3
14942856,3
14953327,3
14953542,3
14983397,3
14848807,3
14867283,3
14914670,3
14964867,3
14983668,3
14891094,3
14898254,3
14912529,3
14913751,3
14950156,3
14979698,3
14980953,3
14858129,3
14865301,4
14909040,3
14923403,3
14952753,4
14906933,3
14917179,3
14984093,3
14894623,3
14922092,3
14943699,3
14946183,3
14951066,4
14959447,4
14981336,3
14855619,3
14954894,3
14963949,3
14843129,3
14884969,3
14985240,3
14928288,3
14932270,3
14992705,3
15209710,3
14977033,3
14984283,3
14987423,4
14897412,3
14899600,3
14917203,3
14949442,3
14982579,3
14925791,3
14937959,3
14954448,3
14967016,3
14980982,3
14988141,3
14935803,3
14854817,3
14902558,4
14962125,3
14846390,3
14852527,3
14880542,6
14894162,3
14898233,3
14966483,3
14866212,3
14880250,3
14934662,3
14937937,3
14981176,3
14851212,3
14859825,3
14881705,3
14912235,3
14863286,3
14908343,3
14915223,3
14935159,3
14954577,3
14884571,3
14888231,4
14910085,3
14939538,3
14984157,3
14849725,3
14858196,3
14879305,3
14910474,3
14911307,3
14854991,3
14862786,4
14897403,3
14962154,3
14964313,3
14863325,3
14930517,3
14930593,3
14854938,3
14909578,3
14932744,4
14945265,3
14988266,5
14896255,3
14968475,3
14978233,3
14967616,3
14842133,3
14861603,3
14867811,3
14870350,3
14898217,3
14935896,3
14939838,3
14947953,5
14954337,3
14967380,3
14846712,3
14914858,3
14918183,3
14923718,3
14925203,3
14937723,3
14948919,3
14967635,3
14980433,4
14874627,3
14933369,3
14970519,3
14968169,3
14895055,3
14898041,3
14976313,3
14850761,3
14860103,3
14884712,3
14941294,3
15219695,4
14948555,3
14965319,3
14882651,3
14939592,3
14947777,5
14910520,3
14954709,3
14959451,3
14964049,3
14847583,3
14942955,3
14982750,3
14959757,3
14852350,3
14871711,3
14932333,4
14978108,3
14890580,3
14896702,3
14975226,3
14988181,3
14859420,3
14885097,3
14897119,3
14954351,3
14847840,3
14859433,3
14867951,3
14881444,3
14942279,3
14961558,4
14842940,3
14914223,4
14923409,3
14970455,3
14879068,3
14885396,3
14914902,3
14935829,4
14841764,3
14952803,3
14955856,3
14965647,3
14870761,3
14873048,3
14930854,3
14954059,3
14872920,3
14949162,3
14965673,3
14852182,3
14912684,3
14934267,3
14938770,3
14974168,3
14854488,4
14936257,3
14947456,3
14979703,3
14870474,3
14888547,3
14896222,3
14968551,3
14850788,3
14871001,3
14875241,3
14894433,4
14897724,3
14918153,9
14848804,4
14894139,3
14928374,3
14894942,3
14920131,3
14845405,3
14911719,3
14925372,3
14967252,3
14883852,3
14905441,3
14915010,3
14952162,3
14868195,3
14907350,3
14912883,3
14932976,3
14951016,3
15035315,3
14974415,3
14982630,4
14842539,3
14864620,3
14893289,4
14906092,3
14963266,3
14918045,3
14848509,4
14877223,4
14906750,4
15000073,3
14987833,3
14872852,3
14873299,3
14877041,3
14904836,3
14913045,3
14941137,3
14947639,3
14949449,3
15026866,3
14976331,4
14861098,4
14896653,3
14898552,3
14909455,3
14925848,3
14928128,3
14984781,3
14868101,3
14877154,3
14891067,3
14926096,3
14942004,3
14945826,3
14960627,3
14864231,3
14920054,3
14848610,3
14858141,3
14886204,3
14943985,3
15219679,6
14859411,4
14886193,3
14921244,3
14941001,3
14942475,4
14969189,3
14980129,3
14986935,5
14877941,4
14885102,3
14978601,3
14890498,3
14921923,3
14947375,3
14851954,3
14859318,4
14867817,3
14873943,3
14895382,4
